mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-626605	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pbca	mmm	TRUE	4.7793	-2.094538838	0.042090879	P2_1/c	FALSE	2/m
mp-626587	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.8222	-2.095048734	0.041580983	P1	FALSE	1
mp-625739	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.8633	-2.095920948	0.040708769	P2_1/c	FALSE	2/m
mp-625774	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.8775	-2.089884153	0.046745564	P1	FALSE	1
mp-626654	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.8914	-2.067616142	0.069013575	P1	FALSE	1
mp-37836	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9076	-2.105037833	0.031591884	P-1	TRUE	-1
mp-554883	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9113	-2.106318701	0.030311015	P-1	TRUE	-1
mp-626103	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.9129	-2.105598914	0.031030803	P1	FALSE	1
mp-777738	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	4.9382	-2.098350101	0.038279616	P2_1/c	FALSE	2/m
mp-626431	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.9443	-2.097236841	0.039392875	P1	FALSE	1
mp-626435	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.9639	-2.113455569	0.023174148	P1	FALSE	1
mp-625316	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9764	-2.097347343	0.039282374	P-1	TRUE	-1
mp-626502	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.9816	-2.110692065	0.025937652	P1	FALSE	1
mp-560572	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.9898	-2.109729366	0.02690035	P-1	TRUE	-1
mp-554002	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.996	-2.113865638	0.022764079	P1	FALSE	1
mp-27540	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.9963	-2.119940757	0.01668896	P-1	TRUE	-1
mp-626470	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	5.0046	-2.113565097	0.02306462	P1	FALSE	1
mp-625318	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	5.0246	-2.104009999	0.032619718	P1	FALSE	1
mp-555462	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P-1	-1	TRUE	5.0602	-2.098711949	0.037917768	P-1	TRUE	-1
mp-560196	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	5.2031	-2.106373274	0.030256443	P2_1/c	FALSE	2/m
mp-626496	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	5.6644	-2.112282217	0.0243475	P1	FALSE	1
mp-28910	CrS2	TS2	6	1D or 2D	48	3	12	2	C2/m	2/m	TRUE	0	-0.525591096	0.056561814	C2/m	TRUE	2/m
mp-755263	CrS2	TS2	3	1D or 2D	24	3	12	2	C2/m	2/m	TRUE	0	-0.533048833	0.049104078	C2/m	TRUE	2/m
mp-542802	YCuPbS3	TTSnS3	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	1.5852	-1.109039681	0.000161119	Pmc2_1	FALSE	mm2
mp-865203	YCuPbS3	TTSnS3	12	1D or 2D	96	12	48	2	P1	1	FALSE	1.5939	-1.1092008	0	P1	FALSE	1
